Title,Price,Area,Living Area,Legal Documents,Rooms,Toilets,Address
Chú guột nhờ bán căn nhà ở ngay chợ bình điền 100m2 sổ hồng riêng,"1,2 tỷ",100 m²,100 m²,Đã có sổ,3 phòng,3 phòng,"An Phú Tây, Xã An Phú Tây, Huyện Bình Chánh, Tp Hồ Chí Minh"
NHÀ FUL NỘI THẤT CAO CẤP - KDC HỒNG LOAN,"5,9 tỷ",80 m²,240 m²,Đã có sổ,4 phòng,4 phòng,"Khu Dân Cư Hồng Loan, Phường Hưng Thạnh, Quận Cái Răng, Cần Thơ"
NHÀ HỒ NGHINH SÁT PHẠM VĂN ĐỒNG GIÁ RẺ,26 tỷ,120 m²,650 m²,Đã có sổ,10 phòng,Nhiều hơn 6 phòng,"Đường Hồ Nghinh, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng"
BÁN KHÁCH SẠN TRUNG TÂM TP ĐÀ LẠT,27 tỷ,170 m²,580 m²,Đã có sổ,nhiều hơn 10 phòng,Nhiều hơn 6 phòng,"59, Đường Nguyễn Thị Nghĩa, Phường 2, Thành phố Đà Lạt, Lâm Đồng"
Cần tiền trả nợ gấp bán tôi bán gấp dãy trọ 150m2 ngay khu đô thị MP3,"2,1 tỷ",150 m²,150 m²,Đã có sổ,10 phòng,Nhiều hơn 6 phòng,"Đường NH2, Phường Thới Hòa, Thị xã Bến Cát, Bình Dương"
NHÀ 2 TẦNG CÁCH CỔNG KHU CÔNG NGHIỆP CẦU TRÀM CHỈ 500M,"2,45 tỷ",84 m²,84 m²,Đã có sổ,3 phòng,3 phòng,"ẤP CẦU XÂY, Xã Long Trạch, Huyện Cần Đước, Long An"
"Nhà vườn, trang trại giá rẻ.","1,7 tỷ",3610 m²,3610 m²,Đã có sổ,3 phòng,Nhiều hơn 6 phòng,"Ba Dùi, Xã Khánh Bình, Huyện Khánh Vĩnh, Khánh Hòa"
"🔥 SỐC! ĐẤT + 2 NHÀ CHỈ 2,5 TỶ TẠI HÀ ĐÔNG – NGHE NHƯ ĐÙA MÀ LÀ THẬT! 🔥","2,55 tỷ",54 m²,54 m²,Đã có sổ,2 phòng,2 phòng,"Đường Phú Mỹ, Phường Biên Giang, Quận Hà Đông, Hà Nội"
NHÀ MẶT TIỀN ĐƯỜNG MẪU GIÁO ẤP 2 TRỌN GÓI 2 TỶ 050,"2,05 tỷ",105 m²,105 m²,Đã có sổ,3 phòng,3 phòng,"Mẫu Giáo Ấp 2, Xã Phước Lợi, Huyện Bến Lức, Long An"
"Bán Mặt tiền Kinh doanh Lê Lư Tân Phú 4,7x20, trệt 3 tầng, 12 tỷ",12 tỷ,95.5 m²,382 m²,Đã có sổ,4 phòng,3 phòng,"Đường Lê Lư, Phường Phú Thọ Hòa, Quận Tân Phú, Tp Hồ Chí Minh"
Bán nhà phường Phước Long B Q9 tp thủ Đức,"4,25 tỷ",46.5 m²,86.5 m²,Đã có sổ,2 phòng,2 phòng,"Đường 339, Phường Phước Long B (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh"
Chủ ngộp gởi bán căn nhà mặt tiền đường nhựa .,"1,2 tỷ",82 m²,82 m²,Đã có sổ,2 phòng,2 phòng,"Đường Trần Đại Nghĩa, Xã Tân Kiên, Huyện Bình Chánh, Tp Hồ Chí Minh"
❌ NHÀ GIÁ RẺ NÈ ANH CHỊ EM ƠI ❌,"1,87 tỷ",66 m²,145 m²,Đã có sổ,2 phòng,2 phòng,"Hẻm 115 Bình Thuỷ, Phường An Hòa, Quận Ninh Kiều, Cần Thơ"
"BÁN NHÀ HOÀN CÔNG 3PN, 2VS",7 tỷ,72 m²,79 m²,Đã có sổ,3 phòng,2 phòng,"Đường Hưng Đạo Vương, Phường Trung Dũng, Thành phố Biên Hòa, Đồng Nai"
"Siêu phẩm nhà vườn, diện tích 122m, giữa trung tâm thành phố","4,65 tỷ",122 m²,142 m²,Đã có sổ,3 phòng,4 phòng,"356/H73/10, Đường Hoàng Diệu, Phường Bình Thuận, Quận Hải Châu, Đà Nẵng"
"Bán nhà HXH đường Gò Dầu, diện tích 4.5mx8m, 1 lầu, hẻm 6m thông","5,35 tỷ",38 m²,58 m²,Đã có sổ,2 phòng,2 phòng,"Đường Gò Dầu, Phường Tân Quý, Quận Tân Phú, Tp Hồ Chí Minh"
Bán nhà phường Phước Long B Q9 tp thủ Đức,"4,6 tỷ",69 m²,74 m²,Đã có sổ,2 phòng,1 phòng,"Đường Dương Đình Hội, Phường Phước Long B (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh"
"NHÀ 4 TẦNG, 36M², HẺM 6M, CÁCH MẶT TIỀN ÂU CƠ 20M – KHU VIP TÂN BÌNH","6,19 tỷ",36 m²,150 m²,Đã có sổ,3 phòng,3 phòng,"Đường Âu Cơ, Phường 10, Quận Tân Bình, Tp Hồ Chí Minh"
Cần bán nhanh !!!,"6,19 tỷ",103 m²,103 m²,Đã có sổ,1 phòng,1 phòng,"Đường Đồng Kè, Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng"
BÁN NHÀ 2 MẶT TIỀN ĐƯỜNG HÙNG VƯƠNG HẢI CHÂU ĐÀ NẴNG VỊ TRÍ TRUNG TÂM,"56,2 tỷ",116.6 m²,235.4 m²,Đã có sổ,3 phòng,2 phòng,"Đường Hùng Vương, Phường Hải Châu I, Quận Hải Châu, Đà Nẵng"
nhà vb diện tích khủng 2 mặt hẽm ngay ngã tư ga,"1,79 tỷ",39 m²,60 m²,Sổ chung / công chứng vi bằng,2 phòng,2 phòng,"đường thạnh lộc 14, Phường Thạnh Lộc, Quận 12, Tp Hồ Chí Minh"
"Định Cư Nước Ngoài Bán Gấp Nhà Mặt Tiền Lũy Bán Bích, Dòng Tiền 25tr","7,5 tỷ",40 m²,110 m²,Đã có sổ,5 phòng,2 phòng,"Đường Lũy Bán Bích, Phường Tân Thành, Quận Tân Phú, Tp Hồ Chí Minh"
Bán nhà Mặt Tiền - Đường Mễ Cốc - Quận 8 - 120m2 - giá tốt,"6,7 tỷ",120 m²,120 m²,Đã có sổ,3 phòng,2 phòng,"Đường Bến Mễ Cốc, Phường 15, Quận 8, Tp Hồ Chí Minh"
Nhà tân mai 4 tầng sử dụng x20m2 đẹp + full nội thất ngõ thoáng rộng,"2,385 tỷ",20 m²,20 m²,Không có sổ,2 phòng,2 phòng,"tân mai, Phường Tân Mai, Quận Hoàng Mai, Hà Nội"
Nhà thật sổ thật 4x16 64m2 3PN ĐTN 6m Phạm Văn Chiêu full nội thất,"5,25 tỷ",64 m²,128 m²,Đã có sổ,3 phòng,3 phòng,"Hẻm 237 Phạm Văn Chiêu, Phường 14, Quận Gò Vấp, Tp Hồ Chí Minh"
"Bán nhà 59m2 , 4 tầng, hẻm 3m , Huỳnh Văn Bánh,Phú Nhuận. Chỉ 8,3 tỷ.","8,3 tỷ",59 m²,59 m²,Đã có sổ,5 phòng,6 phòng,"Đường Huỳnh Văn Bánh, Phường 11, Quận Phú Nhuận, Tp Hồ Chí Minh"
"Chủ gửi Nhà đã hoàn công 96m2 cách chợ chiều tân thạnh đông 300m,4x24","2,1 tỷ",96 m²,75 m²,Đã có sổ,2 phòng,1 phòng,"Đường Huỳnh Minh Mương, Xã Tân Thạnh Đông, Huyện Củ Chi, Tp Hồ Chí Minh"
Bán nhà nhỏ xinh mới xây,"3,5 tỷ",37 m²,70 m²,Đã có sổ,3 phòng,2 phòng,"Hẻm 583/34 Lê Đức Thọ, Phường 16, Quận Gò Vấp, Tp Hồ Chí Minh"
"GIẢM 300TR BÁN GẤP MẶT TIỀN TRƯỜNG CHINH, ĐÀ NẴNG DT103M2, GIÁ 3,38 TỶ","3,38 tỷ",103 m²,103 m²,Đã có sổ,2 phòng,1 phòng,"Đường Trường Chinh, Phường Hòa Phát, Quận Cẩm Lệ, Đà Nẵng"
"CHÍNH CHỦ GỬI – NHÀ PHỐ XUÂN THỚI ĐÔNG, ĐƯỜNG NHỰA GẦN CHỢ VÕ THỊ HỒI","4,95 tỷ",68 m²,136 m²,Đã có sổ,3 phòng,2 phòng,"Đường Võ Thị Hồi, Xã Xuân Thới Đông, Huyện Hóc Môn, Tp Hồ Chí Minh"
"Nhà TL41-1 trệt-1 lửng-3pn-2wc-1 phòng thờ. đt 3,6*21","2,3 tỷ",75.6 m²,75.6 m²,Sổ chung / công chứng vi bằng,3 phòng,2 phòng,"Đường Thạnh Lộc 41, Phường Thạnh Lộc, Quận 12, Tp Hồ Chí Minh"
"chính chủ gửi BÙI TƯ TOÀN (Trệt+Lầu Lửng)->3,4x10m GIÁ SIÊU HỜI CHỈ 🔥","1,65 tỷ",34 m²,34 m²,Sổ chung / công chứng vi bằng,2 phòng,2 phòng,"Hẻm 27 Bùi Tư Toàn, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh"
Nhà lửng ngay UBND và Chợ Bình Lợi cách trung tâm Biên Hoà 15phút,"1,41 tỷ",120 m²,140 m²,Đã có sổ,3 phòng,2 phòng,"Chợ Bình Lợi HL15, Xã Bình Lợi, Huyện Vĩnh Cửu, Đồng Nai"
Nhà Mặt Tiền,"7,69 tỷ",70 m²,244.8 m²,Đã có sổ,5 phòng,6 phòng,"Đường Trần Thanh Mại, Phường Tân Tạo A, Quận Bình Tân, Tp Hồ Chí Minh"
CHỊ THANH CẦN BÁN LẠI NHÀ DƯƠNG ĐÌNH CÚC - BÌNH CHÁNH (96M2),"1,29 tỷ",96 m²,96 m²,Đã có sổ,3 phòng,2 phòng,"Đường Dương Đình Cúc, Xã Tân Kiên, Huyện Bình Chánh, Tp Hồ Chí Minh"
"Nhà đẹp 50m2, hẻm xe hơi , full nội thất","5,5 tỷ",50 m²,200 m²,Đã có sổ,4 phòng,3 phòng,"Đường Trương Đình Hội, Phường 16, Quận 8, Tp Hồ Chí Minh"
"ĐỊNH CƯ MỸ BÁN NHÀ 4 TẦNG THIẾT KẾ HIỆN ĐẠI GẦN ĐIỆN BIÊN PHỦ, ĐÀ NẴNG","10,9 tỷ",144 m²,144 m²,Đã có sổ,4 phòng,4 phòng,"Đường Điện Biên Phủ, Phường Chính Gián, Quận Thanh Khê, Đà Nẵng"
"Nhà đẹp đường số 4 ( Gò Xoài), dt 4mx8m, 2 lầu, hẻm xe hơi","4,15 tỷ",32 m²,90 m²,Đã có sổ,2 phòng,2 phòng,"Đường số 4, Phường Bình Hưng Hoà A, Quận Bình Tân, Tp Hồ Chí Minh"
"BÁN NHÀ MỚI GIÁ RẺ NHẤT KHU VỰC, GIỮ TIỀN TỐT","5,75 tỷ",88.38 m²,118 m²,Đã có sổ,4 phòng,3 phòng,"Hẻm 276 Thống Nhất, Phường 16, Quận Gò Vấp, Tp Hồ Chí Minh"
bán nhà 1trệt 1lầu sát bên chợ vườn lài,"1,79 tỷ",36 m²,72 m²,Sổ chung / công chứng vi bằng,2 phòng,2 phòng,"Đường Vườn Lài, Phường An Phú Đông, Quận 12, Tp Hồ Chí Minh"
"Bán nhà mặt tiền tiện nhà ở cao cấp, kinh doanh hoặc văn phòng.","11,5 tỷ",76 m²,205 m²,Đã có sổ,5 phòng,3 phòng,"Đường Lê Niệm, Phường Phú Thạnh, Quận Tân Phú, Tp Hồ Chí Minh"
"2 Bước Chân Ra Vòng Xoay CV Phú Lâm Giá 50m2 3 Tấm BTCT 7,5 Tỷ","7,5 tỷ",50 m²,150 m²,Đã có sổ,4 phòng,4 phòng,"An dương, Phường 11, Quận 11, Tp Hồ Chí Minh"
"Siêu rẻ *** 1 căn, ngay P11, Gò Vấp, hẻm xe hơi : 4,9 tỷ","4,9 tỷ",48 m²,48.1 m²,Đã có sổ,3 phòng,3 phòng,"Đường Nguyễn Văn Khối, Phường 11, Quận Gò Vấp, Tp Hồ Chí Minh"
"Chị Thảo bán căn nhà 1 lầu Hưng Nhơn , Tân Kiên đang cho thuê 8tr/th",870 triệu,116 m²,116 m²,Đã có sổ,3 phòng,2 phòng,"Đường Hưng Nhơn, Xã Tân Kiên, Huyện Bình Chánh, Tp Hồ Chí Minh"
"Giảm 500tr! Bán gấp nhà 3 tầng 60m2 - Ngang 5m - Chỉ nhỉnh ""100tr/m2""","6,39 tỷ",60 m²,170 m²,Đã có sổ,3 phòng,3 phòng,"Đường Hoàng Hoa Thám, Phường 6, Quận Bình Thạnh, Tp Hồ Chí Minh"
Bán Nhà Quang Trung P10. 20m2. trệt lầu. chỉ 2.25tỷ,"2,25 tỷ",20 m²,40 m²,Đã có sổ,2 phòng,2 phòng,"Đường Quang Trung, Phường 10, Quận Gò Vấp, Tp Hồ Chí Minh"
Bán nhà Vũ Trọng Phụng,"9,932 tỷ",191 m²,191 m²,Đã có sổ,6 phòng,4 phòng,"1.104, Vũ Trọng Phụng, Phường Thống Nhất, Thành phố Nam Định, Nam Định"
"✅ CHỈ 1TỶ 140TRIỆU – NHÀ 2 TẦNG 26M TẠI BÀ ĐIỂM, HÓC MÔN – VÀ","1,14 tỷ",26 m²,26 m²,Đã có sổ,1 phòng,1 phòng,"Đường Thái Thị Giữ, Xã Bà Điểm, Huyện Hóc Môn, Tp Hồ Chí Minh"
Bán nhà ngay chủ Nguyễn Kiệm Gò Vấp,"2,85 tỷ",28.5 m²,57 m²,Đã có sổ,2 phòng,2 phòng,"Đường Nguyễn Kiệm, Phường 3, Quận Gò Vấp, Tp Hồ Chí Minh"
"Nhà 5 tầng hẻm xe tải , 10 phòng ngủ , Thống Nhất , phường 10, Gò Vấp","8,98 tỷ",38 m²,187 m²,Đã có sổ,10 phòng,Nhiều hơn 6 phòng,"Đường Thống Nhất, Phường 10, Quận Gò Vấp, Tp Hồ Chí Minh"
🏡Bán Gấp Nhà Tân Phú - (5x9) - 6Pn 4Wc -🚗 xe hơi vô nhà - 💰 Nhỉnh 5tỷ!,"5,7 tỷ",45 m²,225 m²,Đã có sổ,6 phòng,4 phòng,"Đường Thoại Ngọc Hầu, Phường Phú Thạnh, Quận Tân Phú, Tp Hồ Chí Minh"
"Ngộp nặng:nhà lầu hoàn công mặt tiền NguyễnThị Dưỡng,thông ra chợ-TL15","2,75 tỷ",100 m²,130 m²,Đã có sổ,2 phòng,2 phòng,"Nguyễn Thị Dưỡng, Xã Tân Thạnh Đông, Huyện Củ Chi, Tp Hồ Chí Minh"
Nhà đẹp 2 lầu Ngã 3 Thái Lan. Chính chủ,"3,5 tỷ",100 m²,100 m²,Đã có sổ,3 phòng,3 phòng,"Đường Quốc lộ 51, Phường Tam Phước, Thành phố Biên Hòa, Đồng Nai"
